<0,0> -> 0.000000 
<1,0> -> 25.250000 
<1,1> -> 25.250000 
<2,0> -> 29.037500 
<2,1> -> 58.075000 
<2,2> -> 29.037500 
<3,0> -> 29.605625 
<3,1> -> 63.566875 
<3,2> -> 63.566875 
<3,3> -> 29.605625 
<4,0> -> 29.690844 
<4,1> -> 64.475875 
<4,2> -> 69.570063 
<4,3> -> 64.475875 
<4,4> -> 29.690844 
<5,0> -> 29.703627 
<5,1> -> 64.625008 
<5,2> -> 70.606891 
<5,3> -> 70.606891 
<5,4> -> 64.625008 
<5,5> -> 29.703627 
<6,0> -> 29.705544 
<6,1> -> 64.649295 
<6,2> -> 70.784785 
<6,3> -> 71.682067 
<6,4> -> 70.784785 
<6,5> -> 64.649295 
<6,6> -> 29.705544 
<7,0> -> 29.705832 
<7,1> -> 64.653226 
<7,2> -> 70.815112 
<7,3> -> 71.870028 
<7,4> -> 71.870028 
<7,5> -> 70.815112 
<7,6> -> 64.653226 
<7,7> -> 29.705832 
<8,0> -> 29.705875 
<8,1> -> 64.653859 
<8,2> -> 70.820251 
<8,3> -> 71.902771 
<8,4> -> 72.061008 
<8,5> -> 71.902771 
<8,6> -> 70.820251 
<8,7> -> 64.653859 
<8,8> -> 29.705875 
<9,0> -> 29.705881 
<9,1> -> 64.653960 
<9,2> -> 70.821116 
<9,3> -> 71.908453 
<9,4> -> 72.094567 
<9,5> -> 72.094567 
<9,6> -> 71.908453 
<9,7> -> 70.821116 
<9,8> -> 64.653960 
<9,9> -> 29.705881 
<10,0> -> 29.705882 
<10,1> -> 64.653976 
<10,2> -> 70.821261 
<10,3> -> 71.909435 
<10,4> -> 72.100453 
<10,5> -> 72.128370 
<10,6> -> 72.100453 
<10,7> -> 71.909435 
<10,8> -> 70.821261 
<10,9> -> 64.653976 
<10,10> -> 29.705882 
<11,0> -> 29.705882 
<11,1> -> 64.653979 
<11,2> -> 70.821286 
<11,3> -> 71.909605 
<11,4> -> 72.101483 
<11,5> -> 72.134323 
<11,6> -> 72.134323 
<11,7> -> 72.101483 
<11,8> -> 71.909605 
<11,9> -> 70.821286 
<11,10> -> 64.653979 
<11,11> -> 29.705882 
<12,0> -> 29.705882 
<12,1> -> 64.653979 
<12,2> -> 70.821290 
<12,3> -> 71.909634 
<12,4> -> 72.101663 
<12,5> -> 72.135371 
<12,6> -> 72.140297 
<12,7> -> 72.135371 
<12,8> -> 72.101663 
<12,9> -> 71.909634 
<12,10> -> 70.821290 
<12,11> -> 64.653979 
<12,12> -> 29.705882 
<13,0> -> 29.705882 
<13,1> -> 64.653979 
<13,2> -> 70.821290 
<13,3> -> 71.909638 
<13,4> -> 72.101695 
<13,5> -> 72.135555 
<13,6> -> 72.141350 
<13,7> -> 72.141350 
<13,8> -> 72.135555 
<13,9> -> 72.101695 
<13,10> -> 71.909638 
<13,11> -> 70.821290 
<13,12> -> 64.653979 
<13,13> -> 29.705882 
<14,0> -> 29.705882 
<14,1> -> 64.653979 
<14,2> -> 70.821290 
<14,3> -> 71.909639 
<14,4> -> 72.101700 
<14,5> -> 72.135587 
<14,6> -> 72.141536 
<14,7> -> 72.142405 
<14,8> -> 72.141536 
<14,9> -> 72.135587 
<14,10> -> 72.101700 
<14,11> -> 71.909639 
<14,12> -> 70.821290 
<14,13> -> 64.653979 
<14,14> -> 29.705882 
<15,0> -> 29.705882 
<15,1> -> 64.653979 
<15,2> -> 70.821290 
<15,3> -> 71.909639 
<15,4> -> 72.101701 
<15,5> -> 72.135593 
<15,6> -> 72.141568 
<15,7> -> 72.142591 
<15,8> -> 72.142591 
<15,9> -> 72.141568 
<15,10> -> 72.135593 
<15,11> -> 72.101701 
<15,12> -> 71.909639 
<15,13> -> 70.821290 
<15,14> -> 64.653979 
<15,15> -> 29.705882 
